Episode,Total_Reward,Mean_Reward,Episode_Length,Duration_Sec
1,-330.1177149876882,-55.0196191646147,500,3.15512752532959
2,-331.5121857041204,-55.25203095068673,500,2.6335880756378174
3,-324.69526466806656,-54.11587744467776,500,2.5849947929382324
4,-302.3371772920691,-50.38952954867818,500,2.5790584087371826
5,-264.77109528421533,-44.12851588070256,500,5.471984386444092
6,-323.66168102004576,-53.94361350334096,500,2.6197140216827393
7,-293.433899606802,-48.905649934467,500,2.586228609085083
8,-261.88013472502325,-43.64668912083721,500,2.5871315002441406
9,-229.79420536353496,-38.299034227255824,500,5.326223373413086
10,-197.9920463790295,-32.99867439650492,500,2.5630393028259277
11,-220.77018616503165,-36.795031027505274,500,2.558147668838501
12,-201.4915444242606,-33.5819240707101,500,2.567905902862549
13,-168.14733793590585,-28.024556322650977,500,5.374743461608887
14,-185.85039405036684,-30.975065675061142,500,2.5971570014953613
15,-126.62401435361699,-21.104002392269496,500,2.6101529598236084
16,-135.51895075699582,-22.586491792832636,500,2.666412115097046
17,-167.8187019981167,-27.969783666352782,500,5.30857515335083
18,-190.06700251495113,-31.677833752491853,500,2.538630247116089
19,-214.357328247311,-35.726221374551834,500,2.5749433040618896
20,-210.8330359734391,-35.13883932890652,500,2.6304287910461426
21,-189.08192706637692,-31.51365451106282,500,5.31757378578186
22,-266.4927955087678,-44.41546591812797,500,2.5477070808410645
23,-204.7463823129067,-34.12439705215112,500,2.587676525115967
24,-177.15417204211008,-29.525695340351678,500,2.644685983657837
25,-212.70023149342705,-35.450038582237845,500,5.330676078796387
26,-236.3826432988189,-39.39710721646981,500,2.539655923843384
27,-209.5879725621644,-34.931328760360735,500,2.5453298091888428
28,-193.21806105304313,-32.20301017550719,500,2.5903818607330322
29,-233.21454677938277,-38.86909112989713,500,5.34999418258667
30,-201.70422471639176,-33.617370786065294,500,2.6079812049865723
31,-214.0992660060947,-35.683211001015785,500,2.642245054244995
32,-190.90687801730576,-31.817813002884293,500,2.5807387828826904
33,-211.85542242610518,-35.30923707101753,500,5.330340623855591
34,-179.5751710227105,-29.92919517045175,500,2.583439350128174
35,-196.15876731834373,-32.69312788639062,500,2.6147892475128174
36,-228.21712046597168,-38.03618674432861,500,2.539898157119751
37,-233.43680800919083,-38.90613466819847,500,5.293213844299316
38,-155.7860415181981,-25.964340253033015,500,2.5796780586242676
39,-141.82483570729846,-23.637472617883077,500,2.6238274574279785
40,-171.63776541987477,-28.606294236645795,500,2.570504665374756
41,-164.78998264676875,-27.46499710779479,500,5.325771808624268
42,-136.72475814756035,-22.787459691260057,500,2.5528714656829834
43,-187.59470898541167,-31.265784830901946,500,2.6327474117279053
44,-153.8979237443957,-25.649653957399284,500,2.6175622940063477
45,-159.86947964219394,-26.64491327369899,500,2.6811225414276123
46,-172.65479115512608,-28.775798525854345,500,5.766066074371338
47,-172.33071339494063,-28.72178556582344,500,3.013690233230591
48,-180.65252745194402,-30.108754575324003,500,3.0921595096588135
49,-168.49318893076816,-28.082198155128026,500,2.8653693199157715
50,-150.90177854245485,-25.150296423742475,500,6.6356542110443115
51,-177.38520774721383,-29.564201291202306,500,3.2384862899780273
52,-149.1405697119834,-24.8567616186639,500,3.0499093532562256
53,-161.47778092222234,-26.912963487037057,500,3.0665314197540283
54,-184.21076548984,-30.70179424830667,500,5.960033893585205
55,-238.53772082862088,-39.75628680477015,500,2.902867078781128
56,-156.79326861030404,-26.132211435050674,500,2.8185312747955322
57,-178.61088898934872,-29.768481498224787,500,2.7976126670837402
58,-204.8640708911389,-34.14401181518982,500,5.7093505859375
59,-186.3476771893757,-31.057946198229285,500,2.788595676422119
60,-206.76097024991896,-34.46016170831982,500,2.81821608543396
61,-47.35725878246194,-7.892876463743657,500,2.83115816116333
62,-231.50473580097287,-38.584122633495475,500,5.651032447814941
63,-188.68991773098463,-31.448319621830773,500,2.7684221267700195
64,-182.91068190023634,-30.48511365003939,500,2.784337043762207
65,-204.74088015598494,-34.12348002599749,500,2.824284791946411
66,-195.74433385085376,-32.62405564180896,500,5.686738967895508
67,-218.08713762518937,-36.347856270864895,500,2.7865066528320312
68,-193.8267776764569,-32.30446294607615,500,2.8063228130340576
69,-161.9913528847619,-26.998558814126984,500,2.921013832092285
