Episode,Total_Reward,Mean_Reward,Episode_Length
1,-200.59404058145202,-33.43234009690867,500
2,-202.1861469089239,-33.69769115148731,500
3,-131.49023635980186,-21.915039393300308,500
4,-138.12596432703413,-23.02099405450569,500
5,-136.15155342074863,-22.69192557012477,500
6,-242.3953209860538,-40.3992201643423,500
7,-214.2057146004788,-35.700952433413136,500
8,-197.97608465057664,-32.99601410842944,500
9,-224.97004410979685,-37.49500735163281,500
10,-202.62088812921863,-33.770148021536436,500
11,-186.96934892027892,-31.16155815337982,500
12,-173.51903836421633,-28.91983972736939,500
13,-202.0759386085993,-33.67932310143322,500
14,-196.3531418121088,-32.725523635351465,500
15,-230.4661018514226,-38.4110169752371,500
16,-204.54859113644397,-34.091431856073996,500
17,-212.55909944707426,-35.42651657451238,500
18,-225.52731444558398,-37.587885740930666,500
19,-216.7587607917002,-36.12646013195003,500
20,-225.45095883464165,-37.57515980577361,500
21,-206.5744830440139,-34.42908050733565,500
22,-87.135436251167,-14.522572708527832,500
23,-250.7298384033008,-41.788306400550134,500
24,-227.77121609710906,-37.961869349518174,500
25,-172.4123816938029,-28.73539694896715,500
26,-214.78947493983492,-35.79824582330582,500
27,-206.73010097349277,-34.45501682891546,500
28,-187.89102874976257,-31.31517145829376,500
29,-228.7773730797793,-38.129562179963216,500
30,-224.2518207904504,-37.37530346507507,500
31,-198.25993592070498,-33.04332265345083,500
32,-194.7372387784896,-32.4562064630816,500
33,-220.02406578771257,-36.67067763128543,500
34,-207.58902288277335,-34.59817048046222,500
35,-211.4545729792119,-35.24242882986865,500
36,-234.2431597547864,-39.04052662579773,500
37,-220.41036464791767,-36.73506077465294,500
38,-200.77896200784429,-33.46316033464071,500
39,-211.12111807317967,-35.186853012196615,500
40,-212.95486204162606,-35.492477006937676,500
41,-212.6859166253642,-35.44765277089403,500
42,-200.06082125103015,-33.343470208505025,500
43,-179.62107854204783,-29.936846423674638,500
44,-200.81921637705094,-33.469869396175156,500
45,-171.32580527368108,-28.554300878946847,500
46,-188.9588058738178,-31.493134312302967,500
47,-202.08602960926902,-33.68100493487817,500
48,-178.810703758059,-29.8017839596765,500
49,-235.25713355638896,-39.20952225939816,500
50,-206.87242938846936,-34.47873823141156,500
51,-203.95179497665276,-33.99196582944213,500
52,-233.46358994050695,-38.91059832341782,500
53,-207.10574023202238,-34.51762337200373,500
54,-180.57591719486004,-30.09598619914334,500
55,-203.53335472467006,-33.92222578744501,500
56,-188.94459434207096,-31.490765723678493,500
57,-226.6868610935626,-37.78114351559377,500
58,-192.5162330980109,-32.08603884966848,500
59,-224.85419027854684,-37.47569837975781,500
60,-217.44605436468737,-36.24100906078123,500
61,-192.23390485265958,-32.03898414210993,500
62,-182.3600867828898,-30.393347797148298,500
63,-187.20614625728177,-31.201024376213628,500
64,-226.63341791517945,-37.77223631919657,500
65,-210.74320599322834,-35.12386766553806,500
66,-196.64535840203956,-32.77422640033993,500
67,-186.45758222965296,-31.07626370494216,500
68,-157.81093556485112,-26.301822594141854,500
69,-216.07536066379566,-36.01256011063261,500
70,-223.74158989540922,-37.2902649825682,500
71,-194.92182836625057,-32.4869713943751,500
72,-220.54106984031407,-36.756844973385675,500
73,-181.42959624132357,-30.238266040220594,500
74,-201.49632060451563,-33.5827201007526,500
75,-211.19535559329566,-35.199225932215946,500
76,-172.4217102014418,-28.7369517002403,500
77,-209.66746731247287,-34.944577885412144,500
78,-188.81411487277396,-31.469019145462326,500
79,-209.42044378071952,-34.90340729678659,500
80,-220.69755683474364,-36.78292613912394,500
81,-240.6611723881648,-40.110195398027464,500
82,-193.18623426329816,-32.19770571054969,500
83,-194.6625946643589,-32.443765777393146,500
84,-183.74661212248745,-30.62443535374791,500
85,-191.23074574012458,-31.87179095668743,500
