Episode,Component,Value
1,cpp_crash_vehicle,-480.0
1,cpp_crash_wall,0.0
1,cpp_line,0.0
1,cpp_progress,35.14285883307457
1,cpp_smooth,-5.933855102127836
1,cpp_stuck,-20.79061133642972
1,cpp_success,0.0
1,cpp_team_mix_cpp,-9.650451374909608e-06
1,py_cooperative_credit_py,-1.7006527741614264e-06
1,py_cooperative_mix_py,5.168043571757153e-06
1,py_max_steps_penalty_no_respawn,0.0
1,py_no_progress_penalty,-132.00000196695328
1,py_respawn_penalty,-8.0
2,cpp_crash_vehicle,-360.0
2,cpp_crash_wall,-8.0
2,cpp_line,0.0
2,cpp_progress,30.00000149011612
2,cpp_smooth,-6.216221358967005
2,cpp_stuck,-27.084287910955027
2,cpp_success,0.0
2,cpp_team_mix_cpp,-9.479874279350042e-06
2,py_cooperative_credit_py,5.962160685157869e-07
2,py_cooperative_mix_py,9.887700798572041e-06
2,py_max_steps_penalty_no_respawn,0.0
2,py_no_progress_penalty,-130.00000193715096
2,py_respawn_penalty,-6.0
3,cpp_crash_vehicle,-360.0
3,cpp_crash_wall,0.0
3,cpp_line,0.0
3,cpp_progress,28.714287042617798
3,cpp_smooth,-5.779268414589751
3,cpp_stuck,-21.283659418782918
3,cpp_success,0.0
3,cpp_team_mix_cpp,-3.883948465954745e-06
3,py_cooperative_credit_py,9.302516446041409e-08
3,py_cooperative_mix_py,5.194426194066182e-06
3,py_max_steps_penalty_no_respawn,0.0
3,py_no_progress_penalty,-122.8000018298626
3,py_respawn_penalty,-6.0
4,cpp_crash_vehicle,-300.0
4,cpp_crash_wall,0.0
4,cpp_line,0.0
4,cpp_progress,23.571429699659348
4,cpp_smooth,-6.783784971269142
4,cpp_stuck,-26.937697869259864
4,cpp_success,0.0
4,cpp_team_mix_cpp,-9.61441992330947e-06
4,py_cooperative_credit_py,-1.1276957820882672e-06
4,py_cooperative_mix_py,3.866181941702962e-06
4,py_max_steps_penalty_no_respawn,0.0
4,py_no_progress_penalty,-126.60000188648701
4,py_respawn_penalty,-5.0
5,cpp_crash_vehicle,-360.0
5,cpp_crash_wall,0.0
5,cpp_line,0.0
5,cpp_progress,27.000001311302185
5,cpp_smooth,-6.322143068431615
5,cpp_stuck,-22.93273280309222
5,cpp_success,0.0
5,cpp_team_mix_cpp,-1.8298123904969543e-07
5,py_cooperative_credit_py,-1.2135565157223027e-06
5,py_cooperative_mix_py,4.870173142990097e-06
5,py_max_steps_penalty_no_respawn,0.0
5,py_no_progress_penalty,-117.60000175237656
5,py_respawn_penalty,-6.0
6,cpp_crash_vehicle,-240.0
6,cpp_crash_wall,-8.0
6,cpp_line,0.0
6,cpp_progress,23.142858266830444
6,cpp_smooth,-6.064707702512351
6,cpp_stuck,-28.631922003314685
6,cpp_success,0.0
6,cpp_team_mix_cpp,-4.0921195250120945e-06
6,py_cooperative_credit_py,-1.1272426974073824e-06
6,py_cooperative_mix_py,3.7979698390699923e-06
6,py_max_steps_penalty_no_respawn,0.0
6,py_no_progress_penalty,-128.60000191628933
6,py_respawn_penalty,-4.0
7,cpp_crash_vehicle,-300.0
7,cpp_crash_wall,0.0
7,cpp_line,0.0
7,cpp_progress,24.857143998146057
7,cpp_smooth,-5.952901650559625
7,cpp_stuck,-26.362528276629746
7,cpp_success,0.0
7,cpp_team_mix_cpp,-5.897840381408059e-06
7,py_cooperative_credit_py,-1.1840097613458056e-06
7,py_cooperative_mix_py,7.279993965880749e-06
7,py_max_steps_penalty_no_respawn,0.0
7,py_no_progress_penalty,-118.80000177025795
7,py_respawn_penalty,-5.0
8,cpp_crash_vehicle,-360.0
8,cpp_crash_wall,0.0
8,cpp_line,0.0
8,cpp_progress,28.285715609788895
8,cpp_smooth,-6.127137789600511
8,cpp_stuck,-25.86094907927327
8,cpp_success,0.0
8,cpp_team_mix_cpp,-3.9877096469354e-06
8,py_cooperative_credit_py,-2.3536586581940355e-06
8,py_cooperative_mix_py,9.588649959368922e-06
8,py_max_steps_penalty_no_respawn,0.0
8,py_no_progress_penalty,-137.00000204145908
8,py_respawn_penalty,-6.0
9,cpp_crash_vehicle,-300.0
9,cpp_crash_wall,-8.0
9,cpp_line,0.0
9,cpp_progress,28.285715609788895
9,cpp_smooth,-6.145469605042308
9,cpp_stuck,-24.26039921521442
9,cpp_success,0.0
9,cpp_team_mix_cpp,-3.830064088106155e-06
9,py_cooperative_credit_py,-7.849305418972108e-07
9,py_cooperative_mix_py,4.984511178918183e-06
9,py_max_steps_penalty_no_respawn,0.0
9,py_no_progress_penalty,-123.80000184476376
9,py_respawn_penalty,-5.5
10,cpp_crash_vehicle,-240.0
10,cpp_crash_wall,-8.0
10,cpp_line,0.0
10,cpp_progress,27.000001162290573
10,cpp_smooth,-6.674547225595234
10,cpp_stuck,-22.0098681114614
10,cpp_success,0.0
10,cpp_team_mix_cpp,-3.878042662108783e-06
10,py_cooperative_credit_py,-1.215755560224352e-06
10,py_cooperative_mix_py,1.4011056919116527e-06
10,py_max_steps_penalty_no_respawn,0.0
10,py_no_progress_penalty,-124.40000185370445
10,py_respawn_penalty,-4.5
