Episode,Total_Reward,Mean_Reward,Episode_Length,Episode_Duration_Sec
1,-145.20358547857495,-24.20059757976249,500,8.780710458755493
2,-104.8537929588856,-17.475632159814268,500,2.803981065750122
3,-89.33215003584837,-14.888691672641395,500,2.7144460678100586
4,-109.99098735964026,-18.33183122660671,500,2.6251657009124756
5,-95.47296324457761,-15.912160540762935,500,2.6195449829101562
6,-102.19306919804887,-17.032178199674814,500,2.667874574661255
7,-116.13441564170125,-19.35573594028354,500,2.6500985622406006
8,-135.60681834592287,-22.601136390987147,500,2.666811227798462
9,-128.01007547568935,-21.335012579281557,500,2.644928455352783
10,-154.74413361592164,-25.79068893598694,500,2.4945826530456543
11,-127.4062095261155,-21.234368254352585,500,2.5094268321990967
12,-164.39039808654206,-27.398399681090343,500,2.51689076423645
13,-128.11345583402317,-21.35224263900386,500,2.5015199184417725
14,-111.34078086689351,-18.556796811148917,500,2.5645415782928467
15,-123.38511887988352,-20.564186479980588,500,2.467594861984253
16,-112.01313329094774,-18.66885554849129,500,2.4680583477020264
17,-124.90638067163218,-20.817730111938697,500,2.4757883548736572
18,-115.04108305807586,-19.173513843012643,500,2.5498440265655518
19,-140.04470247438985,-23.340783745731642,500,2.5085177421569824
20,-112.93002632628321,-18.821671054380534,500,2.495938301086426
21,-115.53084901351394,-19.255141502252325,500,2.672602415084839
22,-95.28777021476344,-15.881295035793906,500,2.5213513374328613
23,-118.75822950216434,-19.793038250360723,500,2.6976239681243896
